id,release_month_spa
9359,Mayo
23333,Septiembre
36593,Marzo
12280,Marzo
2788,Febrero
10427,Julio
11011,Diciembre
49803,Diciembre
8987,Septiembre
1637,Junio
15128,Diciembre
8831,Septiembre
36955,Julio
10449,Abril
10395,Junio
12160,Junio
40480,Enero
52038,Diciembre
29444,Septiembre
26352,Noviembre
39953,Septiembre
41580,Enero
315,Agosto
22067,Septiembre
18242,Diciembre
11667,Diciembre
32502,Septiembre
267188,Diciembre
28732,Mayo
75555,Enero
42981,Octubre
278939,Octubre
291731,Mayo
226229,Noviembre
203119,Mayo
172923,Mayo
316098,Marzo
8011,Noviembre
171857,Febrero
2654,Diciembre
18069,Febrero
19092,Marzo
2758,Noviembre
38129,Abril
10436,Septiembre
13595,Agosto
46094,Enero
9409,Julio
11853,Abril
16771,Julio
46924,Mayo
11041,Octubre
306,Mayo
14522,Julio
26203,Enero
178,Julio
19819,Febrero
57834,Septiembre
4722,Junio
18215,Junio
1607,Septiembre
26391,Enero
117553,Septiembre
6075,Noviembre
11310,Junio
18658,Mayo
9350,Mayo
9612,Julio
2124,Agosto
26261,Abril
19176,Junio
49299,Noviembre
11566,Mayo
9571,Septiembre
9739,Octubre
24257,Junio
34444,Mayo
26141,Octubre
10997,Septiembre
50463,Abril
10443,Octubre
20239,Octubre
16297,Abril
18551,Noviembre
25440,Mayo
9024,Octubre
37233,Junio
1634,Julio
13815,Agosto
5503,Agosto
35588,Diciembre
2087,Febrero
41579,Junio
18620,Junio
41006,Julio
4916,Junio
2019,Agosto
31642,Diciembre
9255,Mayo
26271,Diciembre
10612,Mayo
2259,Octubre
16097,Enero
11934,Marzo
106143,Febrero
12475,Agosto
9386,Julio
7984,Diciembre
59930,Abril
15765,Junio
31643,Marzo
6,Octubre
329,Junio
10909,Septiembre
507,Octubre
34024,Agosto
29918,Julio
9593,Junio
42580,Junio
22317,Marzo
1413,Septiembre
12121,Mayo
2246,Septiembre
10502,Agosto
10440,Agosto
9516,Mayo
2320,Marzo
5879,Mayo
83718,Septiembre
11971,Mayo
2625,Octubre
31911,Octubre
788,Noviembre
21450,Septiembre
11231,Julio
41588,Septiembre
10447,Abril
31586,Julio
9300,Septiembre
9559,Noviembre
9800,Diciembre
713,Mayo
8291,Julio
18133,Septiembre
25557,Octubre
22588,Octubre
10872,Marzo
1245,Noviembre
11858,Junio
7007,Julio
10467,Octubre
5550,Abril
8005,Julio
2088,Septiembre
10412,Marzo
47889,Octubre
14534,Septiembre
56583,Noviembre
41878,Agosto
424,Noviembre
35233,Septiembre
14291,Agosto
103413,Septiembre
11236,Agosto
11592,Abril
8850,Julio
10445,Diciembre
695,Septiembre
43535,Septiembre
12519,Octubre
23210,Diciembre
858,Junio
867,Mayo
78,Junio
13203,Julio
10442,Julio
11074,Septiembre
33367,Noviembre
9607,Mayo
17585,Abril
9057,Septiembre
20967,Noviembre
10635,Abril
9479,Octubre
10057,Noviembre
11969,Diciembre
41590,Septiembre
319,Septiembre
26408,Diciembre
15139,Noviembre
161158,Febrero
218473,Enero
85247,Septiembre
11446,Mayo
51980,Septiembre
24405,Abril
11655,Septiembre
11800,Noviembre
8223,Octubre
14587,Enero
31504,Junio
41653,Septiembre
53185,Septiembre
95743,Julio
23637,Octubre
17600,Enero
10897,Agosto
349394,Septiembre
21352,Agosto
68806,Enero
37345,Septiembre
32562,Enero
47507,Enero
25403,Octubre
124304,Mayo
9066,Febrero
771,Noviembre
251,Julio
812,Noviembre
280,Julio
581,Noviembre
80350,Febrero
268,Junio
274,Febrero
408,Diciembre
10020,Noviembre
10895,Febrero
114,Marzo
41043,Diciembre
576,Junio
15477,Noviembre
59146,Febrero
124472,Septiembre
30528,Marzo
7300,Diciembre
10824,Marzo
261246,Diciembre
275,Abril
25059,Marzo
11827,Agosto
8766,Marzo
23570,Mayo
47333,Febrero
54850,Abril
51242,Mayo
10112,Diciembre
4307,Septiembre
46029,Febrero
32308,Marzo
88893,Enero
52873,Mayo
123505,Septiembre
340210,Diciembre
44281,Enero
28121,Abril
12520,Septiembre
1592,Abril
166901,Septiembre
36447,Enero
19042,Marzo
38884,Enero
47449,Mayo
36259,Diciembre
41852,Marzo
40926,Marzo
9099,Marzo
2021,Junio
61752,Marzo
10988,Marzo
11479,Diciembre
398959,Septiembre
287305,Marzo
339428,Marzo
12652,Abril
10684,Julio
954,Mayo
68445,Febrero
18989,Junio
10801,Marzo
54285,Abril
8840,Mayo
278978,Febrero
124625,Septiembre
11107,Mayo
16417,Diciembre
70934,Julio
10363,Marzo
161070,Agosto
10539,Abril
10543,Abril
18414,Abril
47502,Abril
11902,Abril
27098,Marzo
25087,Marzo
5801,Agosto
896,Mayo
3065,Abril
318177,Marzo
2300,Noviembre
8069,Octubre
288173,Enero
187851,Enero
27768,Marzo
221917,Septiembre
8072,Mayo
35797,Noviembre
88030,Enero
185191,Mayo
83857,Enero
33245,Marzo
124460,Octubre
27281,Julio
105045,Febrero
40001,Abril
29621,Octubre
117730,Enero
20762,Abril
37144,Marzo
48260,Agosto
12656,Septiembre
38867,Junio
277270,Enero
25969,Septiembre
44103,Septiembre
753,Noviembre
43634,Mayo
9103,Abril
90214,Marzo
29649,Abril
10990,Abril
8866,Abril
12233,Noviembre
23449,Abril
36355,Mayo
37667,Mayo
90148,Mayo
922,Diciembre
11876,Septiembre
52633,Enero
62364,Noviembre
11687,Enero
9304,Julio
73183,Mayo
131232,Marzo
9100,Mayo
20759,Mayo
46063,Mayo
32513,Enero
40651,Agosto
36915,Mayo
40507,Mayo
9802,Junio
25697,Abril
21588,Marzo
664,Mayo
11867,Mayo
47119,Octubre
314352,Abril
9323,Noviembre
10280,Octubre
10535,Mayo
124613,Agosto
532,Diciembre
26744,Diciembre
16299,Agosto
10547,Mayo
245268,Agosto
935,Enero
55613,Septiembre
41007,Septiembre
35645,Noviembre
110465,Diciembre
255546,Abril
40751,Septiembre
275096,Abril
85778,Noviembre
11101,Enero
9826,Junio
9879,Junio
63564,Diciembre
22621,Enero
7095,Agosto
26890,Mayo
46732,Septiembre
124633,Septiembre
202425,Noviembre
196940,Mayo
77771,Julio
181083,Enero
41225,Mayo
188589,Mayo
87190,Enero
627,Febrero
32872,Mayo
602,Junio
14553,Marzo
9566,Agosto
10545,Junio
9894,Junio
11543,Julio
9268,Junio
52059,Enero
9327,Junio
123763,Agosto
81949,Mayo
42005,Enero
124306,Enero
183955,Septiembre
44535,Septiembre
44495,Enero
78285,Septiembre
11228,Diciembre
10779,Julio
26748,Junio
38223,Julio
9294,Julio
49963,Julio
11363,Agosto
1645,Julio
31546,Septiembre
77056,Marzo
36344,Agosto
18550,Julio
11511,Julio
172198,Octubre
34170,Octubre
281085,Mayo
109478,Mayo
124645,Septiembre
12606,Agosto
69895,Mayo
35206,Septiembre
151489,Enero
4837,Marzo
12632,Septiembre
9098,Mayo
282919,Junio
124614,Septiembre
18975,Julio
11962,Julio
2925,Septiembre
28628,Octubre
3595,Noviembre
9308,Octubre
92381,Agosto
18555,Agosto
12123,Agosto
10830,Agosto
3573,Agosto
10546,Agosto
18862,Agosto
31417,Enero
9431,Agosto
124619,Junio
297645,Marzo
48144,Enero
46986,Septiembre
144982,Septiembre
47907,Agosto
10061,Agosto
36266,Enero
549,Agosto
10478,Agosto
66634,Junio
116690,Junio
213917,Agosto
145925,Enero
100914,Enero
238,Marzo
159,Octubre
11134,Julio
88224,Enero
132641,Abril
42758,Abril
9303,Septiembre
23945,Agosto
37820,Noviembre
22479,Agosto
9054,Mayo
241058,Julio
11985,Septiembre
10232,Enero
59569,Septiembre
410921,Enero
38955,Octubre
110513,Agosto
114089,Agosto
11015,Enero
9306,Agosto
12559,Agosto
58770,Agosto
124851,Junio
3587,Septiembre
10723,Septiembre
56077,Octubre
19004,Marzo
101230,Septiembre
253632,Octubre
10987,Septiembre
44705,Octubre
20318,Noviembre
43596,Marzo
79782,Mayo
26933,Mayo
27854,Julio
981,Diciembre
872,Abril
2769,Agosto
13320,Febrero
164,Octubre
426,Mayo
567,Agosto
3078,Febrero
13528,Mayo
28288,Octubre
213,Julio
284,Junio
239,Marzo
4808,Diciembre
289,Noviembre
963,Noviembre
11113,Octubre
6620,Septiembre
804,Septiembre
26531,Marzo
909,Noviembre
630,Agosto
770,Diciembre
31044,Octubre
599,Agosto
15,Abril
62,Abril
121357,Agosto
705,Noviembre
22490,Enero
223,Abril
25670,Agosto
303,Agosto
4174,Diciembre
8356,Julio
381,Agosto
20758,Junio
29376,Agosto
1859,Octubre
18299,Junio
17281,Abril
64382,Enero
10907,Mayo
32093,Noviembre
1939,Octubre
22292,Junio
3598,Septiembre
3080,Septiembre
198,Marzo
13562,Septiembre
1712,Octubre
220,Marzo
3529,Mayo
3085,Enero
2897,Octubre
1585,Diciembre
3083,Octubre
900,Febrero
43795,Abril
85638,Agosto
50001,Junio
43905,Julio
22688,Septiembre
23114,Marzo
26378,Enero
40206,Diciembre
22356,Febrero
260,Junio
43488,Diciembre
22613,Febrero
10331,Octubre
488,Diciembre
22733,Noviembre
261,Febrero
57575,Enero
32574,Marzo
22657,Junio
76464,Septiembre
22649,Diciembre
176841,Marzo
125587,Octubre
39448,Enero
52855,Febrero
39940,Noviembre
172868,Enero
85328,Julio
124632,Enero
11076,Septiembre
63945,Abril
58985,Septiembre
890,Septiembre
10861,Septiembre
1770,Octubre
44465,Septiembre
2033,Octubre
18203,Septiembre
9333,Septiembre
47260,Enero
9400,Noviembre
9401,Septiembre
12241,Septiembre
25739,Agosto
161806,Octubre
11306,Septiembre
9625,Octubre
10680,Octubre
6346,Octubre
18660,Julio
35115,Mayo
14821,Marzo
14136,Diciembre
10869,Febrero
22660,Diciembre
19186,Junio
31102,Mayo
6878,Febrero
15944,Marzo
18444,Diciembre
20723,Diciembre
173,Diciembre
864,Septiembre
24795,Julio
11224,Marzo
81310,Diciembre
15947,Julio
9078,Diciembre
29682,Noviembre
8367,Junio
433,Agosto
11360,Octubre
11114,Noviembre
12335,Octubre
12092,Julio
10948,Julio
11229,Agosto
15121,Marzo
562,Julio
10163,Marzo
48862,Septiembre
117036,Septiembre
47199,Noviembre
11159,Mayo
9591,Octubre
30500,Octubre
41843,Septiembre
55058,Mayo
10938,Junio
11412,Octubre
10586,Octubre
42314,Octubre
27845,Octubre
108365,Septiembre
23223,Enero
49471,Octubre
38153,Enero
25147,Febrero
9716,Diciembre
43777,Febrero
454,Octubre
10218,Octubre
819,Octubre
38191,Mayo
56830,Diciembre
11238,Mayo
27256,Febrero
31530,Mayo
66473,Noviembre
28120,Julio
1834,Diciembre
26282,Abril
37218,Octubre
252,Junio
116356,Enero
16372,Diciembre
11561,Diciembre
11302,Abril
623,Julio
583,Agosto
12614,Abril
21711,Agosto
11575,Julio
475,Julio
11331,Octubre
521,Mayo
21202,Noviembre
88,Agosto
500,Septiembre
792,Diciembre
8491,Julio
402,Marzo
10537,Marzo
11386,Septiembre
9504,Septiembre
15764,Diciembre
601,Abril
67365,Noviembre
25842,Diciembre
2119,Junio
744,Mayo
136311,Septiembre
221,Octubre
702,Septiembre
25750,Octubre
17642,Septiembre
427043,Octubre
146341,Septiembre
9305,Mayo
37616,Septiembre
11112,Octubre
21612,Enero
141210,Octubre
102461,Mayo
36998,Enero
200383,Enero
116844,Marzo
1630,Octubre
26626,Octubre
124837,Junio
11816,Diciembre
11843,Mayo
10379,Abril
2756,Agosto
790,Febrero
1103,Mayo
11298,Abril
4480,Agosto
4481,Noviembre
49688,Enero
10765,Octubre
762,Marzo
44497,Julio
85588,Septiembre
278621,Septiembre
99479,Septiembre
55049,Mayo
124829,Septiembre
79306,Octubre
356054,Septiembre
10548,Octubre
531,Diciembre
104931,Marzo
4483,Mayo
18919,Septiembre
31556,Noviembre
26167,Mayo
26174,Diciembre
61461,Octubre
117500,Septiembre
218713,Septiembre
217802,Abril
127973,Febrero
659,Mayo
30892,Septiembre
86369,Marzo
8074,Marzo
124676,Octubre
38554,Noviembre
49763,Noviembre
41326,Septiembre
36555,Mayo
10608,Septiembre
11216,Noviembre
7452,Septiembre
64567,Mayo
892,Abril
1600,Mayo
26561,Noviembre
975,Septiembre
18129,Septiembre
54405,Diciembre
150823,Octubre
409,Noviembre
38251,Enero
10161,Julio
1412,Agosto
41768,Diciembre
10409,Agosto
14285,Agosto
2469,Diciembre
10174,Mayo
31225,Marzo
510,Noviembre
11455,Enero
1891,Mayo
2493,Septiembre
85,Junio
68,Febrero
679,Julio
429,Diciembre
13446,Enero
389,Marzo
947,Diciembre
185,Diciembre
595,Diciembre
28,Agosto
335,Diciembre
1892,Mayo
144,Enero
1092,Agosto
769,Septiembre
348,Mayo
766,Octubre
175,Mayo
11645,Junio
10835,Julio
539,Junio
525,Junio
240,Diciembre
600,Junio
530,Mayo
10705,Octubre
279,Octubre
3109,Julio
311,Febrero
1578,Noviembre
703,Abril
9549,Octubre
1398,Abril
387,Septiembre
9277,Diciembre
343,Diciembre
37291,Septiembre
490,Febrero
11235,Febrero
218,Octubre
763,Agosto
9665,Diciembre
18971,Febrero
696,Abril
379,Septiembre
207,Junio
37247,Diciembre
1480,Abril
9322,Febrero
826,Octubre
422,Febrero
829,Junio
828,Septiembre
3090,Enero
9964,Diciembre
3063,Noviembre
13667,Octubre
694,Mayo
235,Agosto
832,Mayo
765,Marzo
5925,Junio
11778,Diciembre
4485,Marzo
137,Febrero
33,Agosto
982,Octubre
8428,Agosto
212,Septiembre
105,Julio
1633,Diciembre
11202,Enero
1554,Mayo
149,Julio
8009,Marzo
903,Junio
11673,Marzo
3034,Diciembre
339,Octubre
10404,Diciembre
914,Octubre
756,Noviembre
288,Marzo
910,Agosto
2640,Octubre
16633,Octubre
665,Diciembre
11031,Mayo
11314,Junio
15143,Febrero
89,Mayo
10322,Diciembre
783,Noviembre
10644,Febrero
11257,Diciembre
14370,Agosto
12104,Julio
625,Noviembre
8816,Diciembre
830,Marzo
2323,Abril
983,Diciembre
642,Septiembre
655,Mayo
10341,Septiembre
639,Julio
266022,Octubre
168450,Enero
30180,Noviembre
31388,Noviembre
41801,Enero
66034,Noviembre
348138,Noviembre
96288,Febrero
61536,Diciembre
18762,Septiembre
331367,Septiembre
8077,Mayo
814,Agosto
41671,Julio
27214,Noviembre
52263,Octubre
33519,Septiembre
16235,Septiembre
11449,Julio
41848,Diciembre
25944,Agosto
24913,Marzo
49126,Abril
32076,Junio
571,Marzo
8851,Septiembre
37843,Septiembre
32146,Agosto
30346,Mayo
6114,Noviembre
229,Abril
13549,Octubre
9529,Octubre
1598,Noviembre
11349,Abril
7340,Noviembre
6217,Abril
377,Noviembre
653,Marzo
28198,Septiembre
794,Junio
31640,Octubre
8744,Septiembre
25189,Noviembre
145,Mayo
2212,Enero
199,Noviembre
7863,Enero
12498,Agosto
9279,Noviembre
53234,Octubre
17204,Diciembre
21539,Diciembre
85589,Septiembre
12709,Mayo
20539,Noviembre
11674,Noviembre
199512,Junio
64900,Mayo
1573,Julio
152,Diciembre
174,Diciembre
172,Junio
154,Junio
157,Mayo
168,Noviembre
364,Junio
11967,Agosto
9086,Agosto
621,Julio
9037,Junio
10173,Octubre
55687,Noviembre
168535,Septiembre
8845,Octubre
46681,Septiembre
578,Junio
579,Junio
17692,Marzo
17795,Diciembre
75,Diciembre
13891,Diciembre
9390,Diciembre
378,Marzo
10896,Marzo
2322,Septiembre
41240,Diciembre
26949,Diciembre
9819,Diciembre
49799,Diciembre
31908,Diciembre
46027,Octubre
3179,Diciembre
1802,Agosto
4232,Diciembre
9361,Septiembre
2928,Diciembre
30285,Diciembre
10549,Diciembre
58102,Diciembre
18451,Diciembre
27265,Diciembre
49935,Agosto
8818,Diciembre
36758,Octubre
36040,Julio
74239,Febrero
9415,Abril
55146,Agosto
303693,Agosto
12145,Enero
42424,Enero
34314,Enero
2892,Septiembre
9404,Febrero
85242,Junio
9622,Enero
8860,Enero
197537,Mayo
66597,Noviembre
14832,Febrero
9619,Febrero
40506,Enero
31000,Marzo
4104,Abril
26306,Enero
203829,Noviembre
43775,Enero
14908,Abril
784,Mayo
12489,Enero
168283,Noviembre
16448,Enero
55936,Marzo
17894,Febrero
28059,Febrero
58911,Diciembre
17949,Febrero
1968,Febrero
61563,Febrero
66,Febrero
20735,Febrero
11419,Febrero
333165,Febrero
25796,Abril
638,Enero
25624,Febrero
9366,Febrero
60083,Noviembre
21915,Febrero
90928,Marzo
50091,Marzo
18420,Marzo
19952,Enero
9446,Marzo
28005,Septiembre
9403,Marzo
27322,Marzo
10003,Abril
9311,Febrero
11844,Mayo
884,Julio
49806,Enero
1624,Marzo
88423,Marzo
16052,Marzo
4477,Marzo
24662,Marzo
18423,Marzo
76996,Agosto
6499,Marzo
50512,Abril
9405,Abril
12723,Abril
9360,Abril
9434,Abril
118991,Abril
21626,Septiembre
13982,Abril
93946,Junio
77223,Abril
31465,Abril
12793,Febrero
102878,Abril
105763,Junio
9611,Abril
47694,Mayo
10357,Abril
9977,Junio
816,Mayo
2163,Mayo
124680,Septiembre
16399,Mayo
124843,Septiembre
31017,Enero
24645,Enero
49478,Mayo
12499,Mayo
18,Mayo
68545,Enero
1811,Mayo
109614,Agosto
60082,Mayo
105045,Febrero
53023,Febrero
64802,Mayo
11239,Enero
50850,Mayo
15321,Abril
2058,Mayo
9450,Noviembre
125021,Mayo
330,Mayo
38523,Septiembre
16375,Septiembre
33660,Noviembre
59232,Noviembre
45671,Septiembre
17770,Mayo
15170,Junio
1701,Junio
201445,Enero
26422,Mayo
124642,Diciembre
1639,Junio
49235,Junio
106129,Octubre
291634,Junio
107743,Octubre
415,Junio
47686,Enero
65889,Marzo
11103,Noviembre
11970,Junio
34941,Junio
407992,Septiembre
8874,Junio
17991,Enero
11956,Abril
266,Octubre
754,Junio
37567,Junio
43771,Junio
124834,Junio
249358,Enero
111367,Noviembre
607,Julio
18080,Julio
38225,Julio
17834,Julio
686,Julio
65046,Octubre
4421,Agosto
9387,Abril
10603,Julio
2142,Agosto
8413,Agosto
10336,Julio
20737,Agosto
9413,Agosto
14585,Enero
18519,Agosto
49462,Junio
8834,Agosto
9458,Enero
8854,Agosto
38295,Agosto
22073,Agosto
37244,Agosto
4961,Agosto
9416,Agosto
26180,Agosto
17832,Agosto
9772,Julio
6072,Julio
1669,Marzo
468,Octubre
32519,Julio
108401,Julio
10806,Septiembre
9433,Septiembre
6623,Septiembre
2118,Septiembre
978,Septiembre
9437,Octubre
29461,Septiembre
56651,Septiembre
10351,Septiembre
66588,Septiembre
2649,Septiembre
14289,Septiembre
10155,Octubre
75250,Octubre
20457,Octubre
18355,Septiembre
33657,Agosto
55306,Junio
68924,Septiembre
36434,Abril
2255,Abril
28353,Agosto
9427,Agosto
172545,Noviembre
17589,Julio
3597,Octubre
1813,Octubre
36797,Octubre
12628,Octubre
33344,Octubre
25099,Octubre
45019,Octubre
63437,Agosto
62422,Octubre
782,Septiembre
29911,Enero
9827,Enero
1959,Enero
251481,Octubre
8067,Octubre
125052,Enero
45153,Septiembre
10871,Octubre
14398,Octubre
10890,Junio
99002,Enero
1281,Julio
32332,Enero
9770,Noviembre
12616,Noviembre
34838,Noviembre
14905,Mayo
14583,Agosto
11975,Noviembre
4995,Septiembre
9281,Febrero
45928,Noviembre
563,Noviembre
61337,Octubre
19931,Septiembre
31535,Marzo
10215,Abril
9823,Noviembre
37165,Junio
45609,Noviembre
38904,Septiembre
45565,Agosto
9407,Octubre
4824,Noviembre
9444,Noviembre
9414,Noviembre
8078,Noviembre
29938,Enero
11831,Diciembre
2895,Octubre
39177,Septiembre
19601,Noviembre
124606,Septiembre
42832,Diciembre
22797,Julio
2639,Agosto
9574,Noviembre
10371,Diciembre
489,Diciembre
167738,Diciembre
293820,Noviembre
9714,Diciembre
102406,Diciembre
170430,Noviembre
8197,Noviembre
6283,Diciembre
279698,Enero
49728,Enero
64562,Septiembre
4233,Diciembre
191874,Enero
10217,Mayo
438108,Diciembre
597,Noviembre
714,Diciembre
52537,Noviembre
12799,Septiembre
62394,Diciembre
9922,Diciembre
547,Mayo
25994,Diciembre
184,Diciembre
9746,Diciembre
9438,Diciembre
115,Marzo
26941,Diciembre
27103,Mayo
9410,Enero
32302,Abril
216794,Mayo
88863,Febrero
154821,Enero
41417,Enero
12538,Febrero
586,Diciembre
2666,Febrero
46338,Diciembre
54007,Enero
11258,Enero
9490,Enero
9411,Enero
25719,Agosto
9033,Enero
11220,Septiembre
21253,Mayo
6116,Diciembre
9457,Enero
281289,Mayo
43911,Noviembre
39424,Abril
44361,Febrero
11702,Febrero
2923,Noviembre
12238,Abril
11568,Febrero
41577,Enero
66894,Marzo
11003,Febrero
10153,Febrero
49645,Febrero
47112,Enero
102732,Abril
30949,Febrero
2898,Diciembre
9558,Julio
83593,Marzo
320011,Marzo
26269,Marzo
11808,Marzo
6970,Agosto
47452,Enero
18205,Mayo
36943,Abril
21736,Marzo
17941,Marzo
10668,Septiembre
9313,Marzo
42807,Marzo
617,Marzo
36568,Abril
37272,Enero
5910,Septiembre
9440,Marzo
53092,Agosto
32911,Marzo
44308,Marzo
124821,Enero
32456,Septiembre
93350,Marzo
62695,Marzo
32144,Marzo
17127,Abril
40688,Marzo
17133,Enero
19848,Abril
17644,Enero
1774,Septiembre
30265,Septiembre
2157,Abril
70581,Septiembre
8838,Abril
29193,Septiembre
795,Abril
16980,Mayo
27472,Abril
47881,Abril
9469,Mayo
12488,Enero
98499,Julio
81367,Enero
267,Octubre
16148,Enero
21252,Mayo
73135,Septiembre
9449,Diciembre
6264,Julio
90414,Enero
188870,Febrero
215373,Enero
78149,Febrero
15513,Febrero
31220,Febrero
13907,Febrero
29825,Septiembre
10622,Enero
30020,Septiembre
17139,Abril
34582,Febrero
10216,Abril
9771,Abril
24560,Enero
76330,Enero
9448,Abril
38618,Abril
18316,Mayo
78373,Mayo
77514,Septiembre
49474,Septiembre
4415,Mayo
39467,Septiembre
55561,Enero
8656,Mayo
209345,Mayo
58680,Mayo
35161,Enero
35796,Noviembre
18937,Mayo
929,Mayo
