id,title,release_year,vote_average,vote_count
11010,The Postman,1994,7.6,181.0
99040,The Confessional,1995,6.5,2.0
11359,The Indian in the Cupboard,1995,5.9,136.0
17182,Eye for an Eye,1996,5.8,65.0
2054,Mr. Holland's Opus,1995,6.9,115.0
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,6.2,192.0
19760,Two If by Sea,1996,4.5,14.0
9536,Bio-Dome,1996,4.4,110.0
11525,Lawnmower Man 2: Beyond Cyberspace,1996,2.8,32.0
40628,Two Bits,1995,5.4,11.0
4482,French Twist,1995,6.0,43.0
10634,Friday,1995,7.0,513.0
755,From Dusk Till Dawn,1996,6.9,1644.0
11859,Fair Game,1995,4.1,54.0
28387,Kicking and Screaming,1995,7.0,36.0
48750,Les Miserables,1995,6.6,8.0
20927,Bed of Roses,1996,5.1,27.0
36929,Big Bully,1996,3.9,16.0
9102,Screamers,1995,6.1,154.0
124626,Nico Icon,1995,7.3,3.0
27526,The Crossing Guard,1995,6.1,74.0
9623,The Juror,1996,5.5,91.0
46785,The White Balloon,1995,7.5,20.0
400,Things to Do in Denver When You're Dead,1995,6.7,87.0
880,Antonia's Line,1995,7.2,26.0
146599,Once Upon a Time... When We Were Colored,1996,4.5,2.0
188588,Last Summer in the Hamptons,1995,0.0,0.0
8447,Angels and Insects,1995,6.3,17.0
10534,White Squall,1996,6.3,86.0
17414,Dunston Checks In,1996,5.1,59.0
13997,Black Sheep,1996,6.0,124.0
2086,Nick of Time,1995,6.1,190.0
61548,The Journey of August King,1995,6.7,3.0
9095,Mary Reilly,1996,5.7,77.0
12158,Vampire in Brooklyn,1995,4.5,113.0
9283,Beautiful Girls,1996,6.6,103.0
9208,Broken Arrow,1996,5.7,459.0
40154,A Midwinter's Tale,1995,7.5,6.0
406,La Haine,1995,7.9,695.0
45549,Shopping,1994,5.6,13.0
63076,Heidi Fleiss: Hollywood Madam,1995,6.8,4.0
11062,City Hall,1996,6.0,67.0
13685,Bottle Rocket,1996,6.8,285.0
47475,Mr. Wrong,1996,3.3,16.0
2045,Unforgettable,1996,5.3,22.0
9614,Happy Gilmore,1996,6.5,767.0
688,The Bridges of Madison County,1995,7.3,397.0
11907,Nobody Loves Me,1994,5.1,5.0
10874,Muppet Treasure Island,1996,6.5,93.0
89333,Catwalk,1995,7.0,2.0
96357,Headless Body in Topless Bar,1995,0.0,0.0
197,Braveheart,1995,7.7,3404.0
103,Taxi Driver,1976,8.1,2632.0
33542,Rumble in the Bronx,1995,6.5,245.0
43566,Before and After,1996,5.8,37.0
71754,Margaret's Museum,1995,7.5,2.0
43612,Happiness Is in the Field,1995,7.0,23.0
51352,Anne Frank Remembered,1995,7.3,4.0
16934,The Young Poisoner's Handbook,1995,6.9,19.0
10324,If Lucy Fell,1996,5.4,11.0
78406,Steal Big Steal Little,1995,5.1,7.0
55731,Race the Sun,1996,5.2,21.0
32119,The Boys of St. Vincent,1992,7.0,7.0
11066,Boomerang,1992,5.4,139.0
11104,Chungking Express,1994,7.9,249.0
37975,The Star Maker,1995,6.8,29.0
2074,Flirting with Disaster,1996,6.3,66.0
27793,The Neverending Story III: Escape from Fantasia,1994,4.4,105.0
44284,The Silences of the Palace,1994,4.3,3.0
290157,Jupiter's Wife,1995,0.0,0.0
110972,Pie in the Sky,1996,7.0,2.0
32622,Angela,1995,5.6,9.0
73067,Frankie Starlight,1995,5.4,4.0
11863,Jade,1995,5.1,45.0
55475,Nueba Yol,1995,5.5,1.0
124636,Sonic Outlaws,1995,0.0,0.0
9101,Down Periscope,1996,5.6,110.0
123360,From the Journals of Jean Seberg,1995,6.5,2.0
5757,Man of the Year,1995,3.8,2.0
39428,The Neon Bible,1995,7.2,5.0
124639,Target,1995,0.0,0.0
9302,Up Close & Personal,1996,5.9,51.0
11000,The Birdcage,1996,6.7,303.0
249882,Virgin Mary,1995,7.0,2.0
16388,The Brothers McMullen,1995,6.3,23.0
9737,Bad Boys,1995,6.5,1729.0
30765,The Amazing Panda Adventure,1995,5.0,31.0
10474,The Basketball Diaries,1995,7.2,472.0
22279,An Awfully Big Adventure,1995,6.0,11.0
30157,Amateur,1994,6.5,21.0
568,Apollo 13,1995,7.3,1637.0
11780,Rob Roy,1995,6.5,151.0
34996,The Addiction,1995,6.4,46.0
414,Batman Forever,1995,5.2,1529.0
649,Belle de Jour,1967,7.3,163.0
1873,Beyond Rangoon,1995,6.4,21.0
5894,Blue in the Face,1995,6.8,28.0
1775,Canadian Bacon,1995,5.9,57.0
8839,Casper,1995,6.0,1045.0
20649,Clockers,1995,6.8,69.0
10329,Congo,1995,5.0,214.0
8963,Crimson Tide,1995,7.0,508.0
26564,Crumb,1994,7.6,71.0
8068,Desperado,1995,6.8,898.0
8512,Devil in a Blue Dress,1995,6.3,88.0
1572,Die Hard: With a Vengeance,1995,6.9,2094.0
13552,The Doom Generation,1995,5.6,57.0
259209,Feast of July,1995,0.0,0.0
6520,First Knight,1995,5.9,319.0
9073,Free Willy 2 - The Adventure Home,1995,5.5,130.0
10428,Hackers,1995,6.2,406.0
17447,Jeffrey,1995,6.5,19.0
9886,Johnny Mnemonic,1995,5.5,380.0
9482,Judge Dredd,1995,5.4,643.0
19326,Jury Duty,1995,4.0,34.0
9344,Kids,1995,6.8,280.0
9071,Living in Oblivion,1995,7.2,64.0
8973,Lord of Illusions,1995,5.9,87.0
15730,Love & Human Remains,1993,7.0,7.0
47608,Mad Love,1995,5.5,27.0
2293,Mallrats,1995,6.8,400.0
9070,Mighty Morphin Power Rangers: The Movie,1995,5.2,153.0
68274,Moonlight and Valentino,1995,5.6,10.0
48787,Mute Witness,1995,6.4,36.0
34574,Nadja,1994,5.9,12.0
1642,The Net,1995,5.6,359.0
11472,Nine Months,1995,5.5,171.0
36196,Party Girl,1995,5.8,14.0
11980,The Prophecy,1995,6.4,139.0
58372,Reckless,1995,10.0,1.0
32646,Safe,1995,7.2,62.0
10533,The Scarlet Letter,1995,5.5,111.0
56088,The Show,1995,5.3,2.0
10802,Showgirls,1995,4.9,261.0
10149,Smoke,1995,7.2,115.0
18402,Something to Talk About,1995,5.7,60.0
9348,Species,1995,5.5,457.0
139408,The Stars Fell on Henrietta,1995,6.6,6.0
281,Strange Days,1995,6.8,334.0
5967,The Umbrellas of Cherbourg,1964,7.6,119.0
79593,The Tie That Binds,1995,4.6,9.0
47939,Three Wishes,1995,6.1,18.0
36834,Total Eclipse,1995,6.5,112.0
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,6.3,117.0
3512,Under Siege 2: Dark Territory,1995,5.6,217.0
52856,Unstrung Heroes,1995,6.4,9.0
77350,Unzipped,1995,6.0,6.0
9560,A Walk in the Clouds,1995,6.5,168.0
9804,Waterworld,1995,5.9,1017.0
31611,White Man's Burden,1995,5.1,25.0
65796,Wild Bill,1995,5.9,27.0
49805,The Browning Version,1994,6.0,11.0
26258,Bushwhacked,1995,4.9,29.0
50797,Burnt by the Sun,1994,6.7,35.0
19155,Before the Rain,1994,7.7,45.0
76,Before Sunrise,1995,7.7,984.0
11017,Billy Madison,1995,6.2,464.0
37141,The Babysitter,1995,4.7,27.0
9382,Boys on the Side,1995,6.3,48.0
6715,The Cure,1995,7.2,58.0
18256,Castle Freak,1995,5.8,40.0
22625,Circle of Friends,1995,6.5,30.0
2292,Clerks,1994,7.4,769.0
1909,Don Juan DeMarco,1994,6.3,184.0
8984,Disclosure,1994,5.9,217.0
61813,Dream Man,1995,2.5,1.0
4954,Drop Zone,1994,5.1,91.0
62488,Destiny Turns on the Radio,1995,5.3,9.0
10531,Death and the Maiden,1994,7.1,92.0
11929,Dolores Claiborne,1995,7.1,183.0
8467,Dumb and Dumber,1994,6.5,1894.0
10451,Eat Drink Man Woman,1994,7.5,76.0
20156,Exotica,1994,6.5,64.0
18395,Exit to Eden,1994,4.3,28.0
522,Ed Wood,1994,7.3,639.0
397,French Kiss,1995,6.2,179.0
10525,Forget Paris,1995,6.1,38.0
27985,Far from Home: The Adventures of Yellow Dog,1995,5.6,27.0
15789,A Goofy Movie,1995,6.7,404.0
27303,Hideaway,1995,5.0,24.0
21183,Fluke,1995,6.6,48.0
10954,Farinelli,1994,5.9,20.0
47867,Gordy,1995,3.0,4.0
43475,Gumby: The Movie,1995,5.0,2.0
72031,The Glass Shield,1994,5.4,9.0
14275,Hoop Dreams,1994,7.7,91.0
1024,Heavenly Creatures,1994,6.9,299.0
17207,Houseguest,1995,6.0,17.0
13701,Immortal Beloved,1994,6.9,90.0
14819,Heavyweights,1995,6.0,97.0
32631,The Hunted,1995,6.0,25.0
11777,I.Q.,1994,5.9,112.0
628,Interview with the Vampire,1994,7.2,1558.0
87729,Jefferson in Paris,1995,5.2,10.0
18713,The Jerky Boys,1995,4.8,10.0
6280,Junior,1994,4.7,381.0
9061,Just Cause,1995,6.0,124.0
37108,A Kid in King Arthur's Court,1995,4.3,40.0
6071,Kiss of Death,1995,5.7,83.0
11,Star Wars,1977,8.1,6778.0
9587,Little Women,1994,7.0,222.0
19101,A Little Princess,1995,7.4,207.0
49980,Ladybird Ladybird,1994,7.4,14.0
17961,L'Enfer,1994,6.6,22.0
18183,Like Water for Chocolate,1992,6.6,70.0
4476,Legends of the Fall,1994,7.2,636.0
11008,Major Payne,1995,6.1,164.0
47504,Little Odessa,1994,6.4,31.0
32325,Mi Vida Loca,1994,5.7,9.0
43742,Love Affair,1994,4.3,11.0
28313,Losing Isaiah,1995,6.4,28.0
11318,The Madness of King George,1994,6.7,67.0
3036,Mary Shelley's Frankenstein,1994,6.1,272.0
40490,Man of the House,1995,5.1,40.0
24070,Mixed Nuts,1994,5.2,37.0
8986,Milk Money,1994,5.6,49.0
10510,Miracle on 34th Street,1994,6.4,199.0
17402,Miami Rhapsody,1995,5.6,7.0
38722,My Family,1995,7.0,11.0
8438,Murder in the First,1995,6.9,140.0
11593,Nobody's Fool,1994,7.0,56.0
1945,Nell,1994,6.1,128.0
39310,New Jersey Drive,1995,6.9,7.0
109560,New York Cop,1993,0.0,0.0
56428,Beyond Bedlam,1994,4.0,4.0
63105,Nemesis 2 - Nebula,1995,4.6,10.0
131957,Nina Takes a Lover,1995,7.4,4.0
241,Natural Born Killers,1994,6.9,927.0
9058,Only You,1994,6.4,92.0
527,Once Were Warriors,1994,7.6,106.0
18220,Poison Ivy II: Lily,1996,4.6,32.0
6950,Outbreak,1995,6.4,522.0
101,Leon: The Professional,1994,8.2,4293.0
63020,The Perez Family,1995,6.6,9.0
2307,A Pyromaniac's Love Story,1995,7.0,2.0
680,Pulp Fiction,1994,8.3,8670.0
41478,Panther,1995,6.4,6.0
25296,Pushing Hands,1992,6.1,9.0
40156,Priest,1994,6.4,32.0
11450,Quiz Show,1994,7.1,262.0
30304,Picture Bride,1995,7.4,5.0
10452,Queen Margot,1994,7.0,67.0
12106,The Quick and the Dead,1995,6.2,431.0
161495,Roommates,1995,6.4,7.0
3586,Prêt-à-Porter,1994,5.3,33.0
110,Three Colors: Red,1994,7.8,246.0
108,Three Colors: Blue,1993,7.7,311.0
109,Three Colors: White,1994,7.3,218.0
159185,"Red Firecracker, Green Firecracker",1994,7.0,2.0
36357,Rent-a-Kid,1995,5.1,15.0
92769,Relative Fear,1995,4.7,3.0
28033,Stuart Saves His Family,1995,5.0,6.0
22586,The Swan Princess,1994,6.5,251.0
14334,The Secret of Roan Inish,1994,6.1,15.0
2636,The Specialist,1994,5.5,317.0
2164,Stargate,1994,6.8,942.0
11395,The Santa Clause,1994,6.3,501.0
278,The Shawshank Redemption,1994,8.5,8358.0
9905,Shallow Grave,1994,7.0,247.0
87078,Suture,1993,6.0,7.0
12527,Strawberry and Chocolate,1993,7.1,16.0
20306,Swimming with Sharks,1994,6.7,104.0
36614,The Sum of Us,1994,6.0,21.0
27993,Senior Trip,1995,5.7,23.0
31439,To Live,1994,7.7,62.0
9067,Tank Girl,1995,5.5,140.0
9059,Tales from the Crypt: Demon Knight,1995,6.7,96.0
193,Star Trek: Generations,1994,6.4,461.0
25066,Tales from the Hood,1995,5.4,33.0
46797,Tom & Viv,1994,5.8,8.0
12122,Village of the Damned,1995,5.6,165.0
11381,Tommy Boy,1995,6.8,321.0
32636,Vanya on 42nd Street,1994,6.1,15.0
36141,The Underneath,1995,5.6,15.0
95963,The Walking Dead,1995,6.6,4.0
1587,What's Eating Gilbert Grape,1993,7.5,943.0
9271,Virtuosity,1995,5.4,163.0
2064,While You Were Sleeping,1995,6.5,340.0
19855,The War,1994,6.3,39.0
60855,Double Happiness,1994,5.5,2.0
236,Muriel's Wedding,1994,6.9,104.0
48287,The Baby-Sitters Club,1995,5.3,23.0
3049,Ace Ventura: Pet Detective,1994,6.4,1684.0
2759,"The Adventures of Priscilla, Queen of the Desert",1994,7.2,174.0
12635,Backbeat,1994,6.2,37.0
10497,Bitter Moon,1992,7.0,115.0
11382,Bullets Over Broadway,1994,7.0,130.0
9331,Clear and Present Danger,1994,6.4,390.0
10731,The Client,1994,6.4,287.0
10464,"Corrina, Corrina",1994,6.4,83.0
34152,Crooklyn,1994,6.7,31.0
9495,The Crow,1994,7.3,980.0
29973,Cobb,1994,6.1,29.0
888,The Flintstones,1994,5.0,559.0
13,Forrest Gump,1994,8.2,8147.0
712,Four Weddings and a Funeral,1994,6.6,654.0
16295,Higher Learning,1995,6.4,49.0
48992,I Like It Like That,1994,6.3,4.0
10879,I Love Trouble,1994,5.3,41.0
10660,It Could Happen to You,1994,6.1,154.0
10714,The Jungle Book,1994,5.9,107.0
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",1993,7.3,5.0
8587,The Lion King,1994,8.0,5520.0
1689,Little Buddha,1993,6.0,76.0
11596,New Nightmare,1994,6.4,297.0
854,The Mask,1994,6.6,2550.0
9359,Maverick,1994,6.6,490.0
23333,Mrs. Parker and the Vicious Circle,1994,6.3,20.0
36593,The Naked Gun 33⅓: The Final Insult,1994,6.4,535.0
12280,The Paper,1994,6.1,40.0
2788,Reality Bites,1994,6.5,180.0
10427,Red Rock West,1993,6.4,71.0
11011,Ri¢hie Ri¢h,1994,5.4,426.0
49803,Safe Passage,1994,4.9,7.0
8987,The River Wild,1994,6.1,214.0
1637,Speed,1994,6.8,1814.0
15128,Speechless,1994,5.5,24.0
8831,Timecop,1994,5.5,288.0
36955,True Lies,1994,6.8,1138.0
10449,When a Man Loves a Woman,1994,6.0,71.0
10395,Wolf,1994,6.0,221.0
12160,Wyatt Earp,1994,6.5,203.0
40480,Bad Company,1995,4.9,12.0
52038,A Man of No Importance,1994,6.5,2.0
29444,S.F.W.,1994,6.1,22.0
26352,A Low Down Dirty Shame,1994,6.0,31.0
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",1994,2.0,1.0
41580,Colonel Chabert,1994,5.9,9.0
315,"Faster, Pussycat! Kill! Kill!",1965,6.5,59.0
22067,Jason's Lyric,1994,5.9,9.0
18242,The Secret Adventures of Tom Thumb,1993,7.1,8.0
11667,Street Fighter,1994,4.1,330.0
32502,Coldblooded,1995,6.7,13.0
267188,Desert Winds,1997,0.0,0.0
28732,Fall Time,1995,6.3,6.0
75555,The Fear,1995,3.4,7.0
42981,Frank and Ollie,1995,7.5,4.0
278939,Girl in the Cadillac,1995,10.0,1.0
291731,Homage,1995,0.0,0.0
226229,Mirage,1995,4.0,1.0
203119,Open Season,1996,0.0,0.0
172923,Dos Crímenes,1995,5.0,1.0
316098,Brother Minister: The Assassination of Malcolm X,1995,4.0,1.0
8011,Highlander: The Final Dimension,1994,4.5,110.0
171857,Federal Hill,1995,5.0,2.0
2654,In the Mouth of Madness,1994,7.1,307.0
18069,8 Seconds,1994,7.2,22.0
19092,Above the Rim,1994,6.7,40.0
2758,Addams Family Values,1993,6.5,537.0
38129,Martin Lawrence: You So Crazy,1994,4.5,4.0
10436,The Age of Innocence,1993,7.0,172.0
13595,Airheads,1994,5.8,222.0
46094,The Air Up There,1994,5.1,42.0
9409,Another Stakeout,1993,4.9,58.0
11853,Bad Girls,1994,4.6,61.0
16771,Barcelona,1994,6.6,20.0
46924,Being Human,1994,5.0,15.0
11041,The Beverly Hillbillies,1993,5.0,86.0
306,Beverly Hills Cop III,1994,5.5,445.0
14522,Black Beauty,1994,6.6,68.0
26203,Blink,1994,6.3,45.0
178,Blown Away,1994,6.0,126.0
19819,Blue Chips,1994,5.7,41.0
57834,Blue Sky,1994,6.1,28.0
4722,Body Snatchers,1993,5.8,102.0
18215,Boxing Helena,1993,4.5,59.0
1607,A Bronx Tale,1993,7.4,447.0
26391,Cabin Boy,1994,4.9,28.0
117553,Calendar Girl,1993,3.7,10.0
6075,Carlito's Way,1993,7.7,805.0
11310,City Slickers II: The Legend of Curly's Gold,1994,4.9,103.0
18658,Clean Slate,1994,5.7,25.0
9350,Cliffhanger,1993,6.1,600.0
9612,Coneheads,1993,4.8,228.0
2124,Color of Night,1994,5.4,117.0
26261,Cops & Robbersons,1994,5.0,36.0
19176,The Cowboy Way,1994,5.1,38.0
49299,Dangerous Game,1993,5.4,9.0
11566,Dave,1993,6.3,205.0
9571,Dazed and Confused,1993,7.4,588.0
9739,Demolition Man,1993,6.4,1018.0
24257,The Endless Summer 2,1994,7.1,12.0
34444,Even Cowgirls Get the Blues,1994,4.2,29.0
26141,Fatal Instinct,1993,5.4,37.0
10997,Farewell My Concubine,1993,7.8,98.0
50463,The Favor,1994,3.3,6.0
10443,Fearless,1993,6.8,80.0
20239,Fear of a Black Hat,1994,5.8,11.0
16297,With Honors,1994,6.1,54.0
18551,Flesh and Bone,1993,6.2,22.0
25440,Widows' Peak,1994,4.3,3.0
9024,For Love or Money,1993,5.7,77.0
37233,The Firm,1993,6.6,513.0
1634,Free Willy,1993,6.0,429.0
13815,Fresh,1994,7.6,56.0
5503,The Fugitive,1993,7.2,1240.0
35588,Geronimo: An American Legend,1993,5.9,44.0
2087,The Getaway,1994,5.4,81.0
41579,Getting Even with Dad,1994,4.5,43.0
18620,Go Fish,1994,3.9,5.0
41006,A Good Man in Africa,1994,5.2,11.0
4916,Guilty as Sin,1993,5.6,21.0
2019,Hard Target,1993,6.1,237.0
31642,Heaven & Earth,1993,6.4,51.0
9255,Hot Shots! Part Deux,1993,6.2,463.0
26271,Live Nude Girls,1995,4.7,12.0
10612,The Englishman Who Went Up a Hill But Came Down a Mountain,1995,6.1,83.0
2259,The House of the Spirits,1993,6.7,135.0
16097,House Party 3,1994,4.6,11.0
11934,The Hudsucker Proxy,1994,7.1,280.0
106143,I'll Do Anything,1994,5.7,18.0
12475,In the Army Now,1994,4.7,54.0
9386,In the Line of Fire,1993,6.8,392.0
7984,In the Name of the Father,1993,7.6,363.0
59930,The Inkwell,1994,3.9,5.0
15765,What's Love Got to Do with It,1993,6.9,75.0
31643,Jimmy Hollywood,1994,4.6,17.0
6,Judgment Night,1993,6.4,79.0
329,Jurassic Park,1993,7.6,4956.0
10909,Kalifornia,1993,6.5,209.0
507,Killing Zoe,1993,6.1,111.0
34024,King of the Hill,1993,6.4,33.0
29918,Lassie,1994,6.1,54.0
9593,Last Action Hero,1993,6.1,725.0
42580,Life With Mikey,1993,5.1,24.0
22317,Lightning Jack,1994,5.7,40.0
1413,M. Butterfly,1993,6.6,35.0
12121,Made in America,1993,5.3,86.0
2246,Malice,1993,5.9,105.0
10502,The Man without a Face,1993,6.2,125.0
10440,Manhattan Murder Mystery,1993,7.1,169.0
9516,Menace II Society,1993,7.2,179.0
2320,Executive Decision,1996,5.8,261.0
5879,In the Realm of the Senses,1976,6.5,112.0
83718,What Happened Was...,1994,7.0,7.0
11971,Much Ado About Nothing,1993,7.2,194.0
2625,Mr. Jones,1993,5.9,35.0
31911,Mr. Wonderful,1993,5.5,11.0
788,Mrs. Doubtfire,1993,7.0,1638.0
21450,Naked,1993,7.5,105.0
11231,The Next Karate Kid,1994,4.8,202.0
41588,The New Age,1994,4.8,5.0
10447,No Escape,1994,6.1,86.0
31586,North,1994,4.8,67.0
9300,Orlando,1992,6.7,53.0
9559,A Perfect World,1993,7.2,376.0
9800,Philadelphia,1993,7.6,1019.0
713,The Piano,1993,7.1,290.0
8291,Poetic Justice,1993,6.9,47.0
18133,The Program,1993,6.0,28.0
25557,The Puppet Masters,1994,5.6,41.0
22588,Radioland Murders,1994,5.8,12.0
10872,The Ref,1994,6.7,99.0
1245,The Remains of the Day,1993,7.5,213.0
11858,Renaissance Man,1994,5.9,83.0
7007,Rising Sun,1993,5.8,188.0
10467,The Road to Wellville,1994,5.5,43.0
5550,RoboCop 3,1993,4.2,309.0
8005,Robin Hood: Men in Tights,1993,6.4,575.0
2088,Romeo Is Bleeding,1993,5.7,36.0
10412,Romper Stomper,1992,6.6,126.0
47889,Ruby in Paradise,1993,5.6,10.0
14534,Rudy,1993,7.2,187.0
56583,The Saint of Fort Washington,1993,4.0,5.0
41878,Savage Nights,1992,6.2,11.0
424,Schindler's List,1993,8.3,4436.0
35233,The Scout,1994,5.3,37.0
14291,Searching for Bobby Fischer,1993,7.3,100.0
103413,Second Best,1994,5.9,8.0
11236,The Secret Garden,1993,7.1,232.0
11592,Serial Mom,1994,6.4,137.0
8850,The Shadow,1994,5.4,140.0
10445,Shadowlands,1993,6.8,61.0
695,Short Cuts,1993,6.9,136.0
43535,A Simple Twist of Fate,1994,5.7,26.0
12519,Sirens,1993,5.2,31.0
23210,Six Degrees of Separation,1993,6.5,75.0
858,Sleepless in Seattle,1993,6.5,630.0
867,Sliver,1993,4.9,144.0
78,Blade Runner,1982,7.9,3833.0
13203,Son in Law,1993,5.6,81.0
10442,So I Married an Axe Murderer,1993,6.1,131.0
11074,Striking Distance,1993,5.4,223.0
33367,Harem,1985,4.0,4.0
9607,Super Mario Bros.,1993,4.0,236.0
17585,Surviving the Game,1994,6.1,53.0
9057,Terminal Velocity,1994,5.0,82.0
20967,Thirty Two Short Films About Glenn Gould,1993,7.4,9.0
10635,Threesome,1994,6.3,57.0
9479,The Nightmare Before Christmas,1993,7.6,2135.0
10057,The Three Musketeers,1993,6.2,219.0
11969,Tombstone,1993,7.4,632.0
41590,Trial by Jury,1994,5.5,5.0
319,True Romance,1993,7.5,762.0
26408,The War Room,1993,7.3,19.0
15139,The Pagemaster,1994,6.2,178.0
161158,"Paris, France",1994,6.0,2.0
218473,"The Beans of Egypt, Maine",1994,0.0,1.0
85247,Killer,1994,3.0,2.0
11446,Welcome to the Dollhouse,1995,6.9,103.0
51980,Germinal,1993,6.3,43.0
24405,Chasers,1994,4.7,22.0
11655,Cronos,1993,6.4,153.0
11800,Naked in New York,1993,4.0,3.0
8223,Kika,1993,6.8,58.0
14587,Bhaji on the Beach,1994,5.1,10.0
31504,Little Big League,1994,6.0,20.0
41653,The Slingshot,1993,6.2,10.0
53185,Wide Eyed and Legless,1993,0.0,0.0
95743,Foreign Student,1994,0.0,0.0
23637,"Ciao, Professore!",1992,7.2,74.0
17600,Spanking the Monkey,1994,5.3,29.0
10897,The Little Rascals,1994,6.3,214.0
349394,À la mode,1993,0.0,0.0
21352,Andre,1994,5.0,31.0
68806,The Escort,1993,5.0,5.0
37345,Princess Caraboo,1994,4.4,5.0
32562,The Celluloid Closet,1996,7.0,24.0
47507,Café au Lait,1993,6.8,4.0
25403,Dear Diary,1993,6.9,46.0
124304,I Don't Want to Talk About It,1993,6.0,1.0
9066,The Brady Bunch Movie,1995,5.9,87.0
771,Home Alone,1990,7.1,2487.0
251,Ghost,1990,6.9,1381.0
812,Aladdin,1992,7.4,3495.0
280,Terminator 2: Judgment Day,1991,7.7,4274.0
581,Dances with Wolves,1990,7.6,1084.0
80350,Tough and Deadly,1995,6.3,4.0
268,Batman,1989,7.0,2145.0
274,The Silence of the Lambs,1991,8.1,4549.0
408,Snow White and the Seven Dwarfs,1937,6.9,1973.0
10020,Beauty and the Beast,1991,7.5,3029.0
10895,Pinocchio,1940,6.9,1412.0
114,Pretty Woman,1990,7.0,1807.0
41043,Window to Paris,1993,6.0,6.0
576,The Wild Bunch,1969,7.7,266.0
15477,Love and a .45,1994,5.5,15.0
59146,The Wooden Man's Bride,1994,6.5,1.0
124472,A Great Day in Harlem,1994,7.0,2.0
30528,Bye Bye Love,1995,6.1,20.0
7300,One Fine Day,1996,6.1,160.0
10824,Candyman: Farewell to the Flesh,1995,5.0,64.0
261246,Century,1993,5.0,1.0
275,Fargo,1996,7.7,2080.0
25059,Homeward Bound II: Lost in San Francisco,1996,6.0,105.0
11827,Heavy Metal,1981,6.3,150.0
8766,Hellraiser: Bloodline,1996,4.9,111.0
23570,The Pallbearer,1996,4.6,30.0
47333,Jane Eyre,1996,7.1,51.0
54850,Loaded,1996,4.0,3.0
51242,Bread and Chocolate,1974,7.1,10.0
10112,The Aristocats,1970,7.1,1287.0
4307,The Flower of My Secret,1995,6.9,43.0
46029,Two Much,1996,5.1,24.0
32308,Ed,1996,3.6,24.0
88893,Scream of Stone,1991,7.5,4.0
52873,My Favorite Season,1993,6.4,4.0
123505,A Modern Affair,1996,5.0,1.0
340210,Condition Red,1995,4.7,3.0
44281,Halfaouine: Boy of the Terraces,1990,7.4,5.0
28121,A Thin Line Between Love and Hate,1996,5.7,15.0
12520,The Last Supper,1995,6.5,82.0
1592,Primal Fear,1996,7.4,644.0
166901,Rude,1995,6.0,1.0
36447,Carried Away,1996,5.4,5.0
