id,day_week_spa
14275,lunes
1024,viernes
17207,viernes
13701,viernes
14819,viernes
32631,viernes
11777,sábado
628,viernes
87729,viernes
18713,viernes
6280,martes
9061,viernes
37108,viernes
6071,viernes
11,miércoles
9587,miércoles
19101,miércoles
49980,viernes
17961,miércoles
18183,jueves
4476,viernes
11008,viernes
47504,jueves
32325,miércoles
43742,viernes
28313,viernes
11318,miércoles
3036,viernes
40490,viernes
24070,miércoles
8986,miércoles
10510,viernes
17402,viernes
38722,miércoles
8438,viernes
11593,viernes
1945,viernes
39310,miércoles
109560,sábado
56428,viernes
63105,martes
131957,viernes
241,jueves
9058,sábado
527,viernes
18220,martes
6950,viernes
101,miércoles
63020,viernes
2307,viernes
680,sábado
41478,viernes
25296,sábado
40156,sábado
11450,viernes
30304,viernes
10452,viernes
12106,jueves
161495,miércoles
3586,viernes
110,viernes
108,domingo
109,miércoles
159185,viernes
36357,domingo
92769,martes
28033,miércoles
22586,viernes
14334,sábado
2636,viernes
2164,jueves
11395,jueves
278,viernes
9905,jueves
87078,martes
12527,viernes
20306,sábado
36614,martes
27993,viernes
31439,jueves
9067,viernes
9059,viernes
193,jueves
25066,miércoles
46797,viernes
12122,viernes
11381,viernes
32636,martes
36141,viernes
95963,viernes
1587,viernes
9271,viernes
2064,viernes
19855,viernes
60855,miércoles
236,jueves
48287,viernes
3049,viernes
2759,martes
12635,viernes
10497,miércoles
11382,viernes
9331,miércoles
10731,miércoles
10464,viernes
34152,viernes
9495,miércoles
29973,viernes
888,jueves
13,miércoles
712,miércoles
16295,miércoles
48992,viernes
10879,miércoles
10660,viernes
10714,viernes
41647,sábado
8587,jueves
1689,miércoles
11596,jueves
854,viernes
9359,viernes
23333,miércoles
36593,viernes
12280,viernes
2788,viernes
10427,jueves
11011,lunes
49803,jueves
8987,viernes
1637,jueves
15128,viernes
8831,jueves
36955,jueves
10449,viernes
10395,viernes
12160,viernes
40480,viernes
52038,jueves
29444,jueves
26352,miércoles
39953,viernes
41580,sábado
315,viernes
22067,miércoles
18242,viernes
11667,jueves
32502,viernes
267188,miércoles
28732,sábado
75555,viernes
42981,viernes
278939,martes
291731,miércoles
226229,martes
203119,viernes
172923,viernes
316098,miércoles
8011,martes
171857,viernes
2654,lunes
18069,viernes
19092,miércoles
2758,viernes
38129,miércoles
10436,viernes
13595,viernes
46094,viernes
9409,jueves
11853,viernes
16771,viernes
46924,viernes
11041,viernes
306,martes
14522,viernes
26203,miércoles
178,viernes
19819,viernes
57834,viernes
4722,miércoles
18215,viernes
1607,martes
26391,viernes
117553,viernes
6075,miércoles
11310,viernes
18658,viernes
9350,viernes
9612,viernes
2124,viernes
26261,viernes
19176,viernes
49299,viernes
11566,viernes
9571,viernes
9739,viernes
24257,viernes
34444,viernes
26141,viernes
10997,jueves
50463,viernes
10443,viernes
20239,viernes
16297,viernes
18551,viernes
25440,viernes
9024,viernes
37233,miércoles
1634,viernes
13815,miércoles
5503,viernes
35588,viernes
2087,viernes
41579,viernes
18620,viernes
41006,jueves
4916,viernes
2019,viernes
31642,viernes
9255,viernes
26271,viernes
10612,viernes
2259,martes
16097,sábado
11934,viernes
106143,viernes
12475,viernes
9386,jueves
7984,domingo
59930,viernes
15765,miércoles
31643,miércoles
6,viernes
329,viernes
10909,miércoles
507,viernes
34024,viernes
29918,viernes
9593,viernes
42580,viernes
22317,viernes
1413,jueves
12121,jueves
2246,miércoles
10502,miércoles
10440,miércoles
9516,miércoles
2320,viernes
5879,sábado
83718,viernes
11971,viernes
2625,viernes
31911,viernes
788,miércoles
21450,martes
11231,lunes
41588,viernes
10447,viernes
31586,viernes
9300,martes
9559,miércoles
9800,miércoles
713,miércoles
8291,viernes
18133,viernes
25557,viernes
22588,viernes
10872,miércoles
1245,viernes
11858,viernes
7007,viernes
10467,viernes
5550,sábado
8005,miércoles
2088,lunes
10412,jueves
47889,viernes
14534,viernes
56583,miércoles
41878,miércoles
424,lunes
35233,viernes
14291,viernes
103413,viernes
11236,viernes
11592,miércoles
8850,viernes
10445,sábado
695,domingo
43535,viernes
12519,viernes
23210,miércoles
858,jueves
867,viernes
78,viernes
13203,viernes
10442,viernes
11074,viernes
33367,miércoles
9607,viernes
17585,viernes
9057,viernes
20967,viernes
10635,viernes
9479,sábado
10057,jueves
11969,sábado
41590,viernes
319,jueves
26408,domingo
15139,miércoles
161158,viernes
218473,sábado
85247,miércoles
11446,miércoles
51980,miércoles
24405,viernes
11655,domingo
11800,miércoles
8223,jueves
14587,viernes
31504,miércoles
41653,viernes
53185,domingo
95743,viernes
23637,jueves
17600,sábado
10897,viernes
349394,viernes
21352,miércoles
68806,viernes
37345,viernes
32562,martes
47507,viernes
25403,martes
124304,jueves
9066,jueves
771,viernes
251,jueves
812,miércoles
280,lunes
581,viernes
80350,martes
268,viernes
274,viernes
408,lunes
10020,miércoles
10895,viernes
114,viernes
41043,miércoles
576,martes
15477,miércoles
59146,sábado
124472,martes
30528,jueves
7300,viernes
10824,viernes
261246,viernes
275,viernes
25059,viernes
11827,viernes
8766,viernes
23570,viernes
47333,viernes
54850,viernes
51242,domingo
10112,miércoles
4307,viernes
46029,miércoles
32308,viernes
88893,martes
52873,viernes
123505,viernes
340210,viernes
44281,lunes
28121,jueves
12520,viernes
1592,miércoles
166901,viernes
36447,viernes
19042,viernes
38884,domingo
47449,miércoles
36259,jueves
41852,viernes
40926,viernes
9099,viernes
2021,viernes
61752,viernes
10988,viernes
11479,miércoles
398959,lunes
287305,jueves
339428,jueves
12652,viernes
10684,jueves
954,miércoles
68445,viernes
18989,viernes
10801,miércoles
54285,sábado
8840,viernes
278978,jueves
124625,martes
11107,viernes
16417,miércoles
70934,miércoles
10363,jueves
161070,jueves
10539,viernes
10543,viernes
18414,martes
47502,miércoles
11902,martes
27098,miércoles
25087,viernes
5801,viernes
896,viernes
3065,viernes
318177,viernes
2300,viernes
8069,jueves
288173,domingo
187851,lunes
27768,sábado
221917,viernes
8072,miércoles
35797,miércoles
88030,sábado
185191,jueves
83857,viernes
33245,viernes
124460,jueves
27281,viernes
40001,viernes
29621,miércoles
117730,sábado
20762,viernes
37144,martes
48260,viernes
12656,viernes
38867,viernes
277270,martes
25969,viernes
44103,martes
753,domingo
43634,viernes
9103,viernes
90214,lunes
29649,viernes
10990,viernes
8866,viernes
12233,viernes
23449,viernes
36355,viernes
37667,martes
90148,martes
922,sábado
11876,miércoles
52633,domingo
62364,viernes
11687,miércoles
9304,viernes
73183,miércoles
131232,miércoles
9100,viernes
20759,viernes
46063,jueves
32513,domingo
40651,martes
36915,viernes
40507,viernes
9802,jueves
25697,viernes
21588,viernes
664,viernes
11867,jueves
47119,martes
314352,jueves
9323,sábado
10280,viernes
10535,viernes
124613,miércoles
532,domingo
26744,sábado
16299,viernes
10547,viernes
245268,miércoles
935,miércoles
55613,miércoles
41007,lunes
35645,viernes
110465,jueves
255546,jueves
40751,viernes
275096,viernes
85778,viernes
11101,jueves
9826,jueves
9879,viernes
63564,viernes
22621,viernes
7095,viernes
26890,miércoles
46732,domingo
124633,sábado
202425,martes
196940,martes
77771,domingo
181083,viernes
41225,jueves
188589,miércoles
87190,domingo
627,viernes
32872,viernes
602,martes
14553,viernes
9566,jueves
10545,viernes
9894,lunes
11543,jueves
9268,viernes
52059,domingo
9327,miércoles
123763,jueves
81949,domingo
42005,jueves
124306,viernes
183955,viernes
44535,martes
44495,martes
78285,miércoles
11228,viernes
10779,jueves
26748,viernes
38223,miércoles
9294,viernes
49963,miércoles
11363,lunes
1645,miércoles
31546,viernes
77056,miércoles
36344,miércoles
18550,viernes
11511,miércoles
172198,domingo
34170,jueves
281085,miércoles
109478,viernes
124645,domingo
12606,viernes
69895,miércoles
35206,viernes
151489,miércoles
4837,jueves
12632,sábado
9098,jueves
282919,jueves
124614,miércoles
18975,viernes
11962,viernes
2925,viernes
28628,domingo
3595,viernes
9308,viernes
92381,viernes
18555,viernes
12123,viernes
10830,viernes
3573,viernes
10546,jueves
18862,miércoles
31417,lunes
9431,viernes
124619,jueves
297645,miércoles
48144,sábado
46986,jueves
144982,viernes
47907,viernes
10061,viernes
36266,domingo
549,viernes
10478,viernes
66634,domingo
116690,domingo
213917,martes
145925,viernes
100914,sábado
238,martes
159,miércoles
11134,sábado
88224,lunes
42758,viernes
9303,viernes
23945,viernes
37820,jueves
22479,viernes
9054,viernes
241058,viernes
11985,viernes
10232,sábado
59569,viernes
410921,sábado
38955,jueves
110513,miércoles
114089,miércoles
11015,viernes
9306,viernes
12559,viernes
58770,viernes
124851,jueves
3587,viernes
10723,viernes
56077,viernes
19004,jueves
101230,jueves
253632,sábado
10987,viernes
44705,jueves
20318,viernes
43596,viernes
79782,martes
26933,jueves
27854,lunes
981,jueves
872,jueves
2769,miércoles
13320,miércoles
164,jueves
426,viernes
567,domingo
3078,jueves
13528,jueves
28288,viernes
213,martes
284,miércoles
239,miércoles
4808,jueves
289,jueves
963,martes
11113,miércoles
6620,martes
804,miércoles
26531,viernes
909,jueves
630,martes
770,viernes
31044,viernes
599,jueves
15,miércoles
62,miércoles
121357,miércoles
705,jueves
22490,domingo
223,viernes
25670,viernes
303,jueves
4174,viernes
8356,jueves
381,miércoles
20758,viernes
29376,viernes
1859,viernes
18299,domingo
17281,martes
64382,miércoles
10907,viernes
32093,viernes
1939,miércoles
22292,jueves
3598,miércoles
3080,viernes
198,jueves
13562,jueves
1712,miércoles
220,miércoles
3529,viernes
3085,jueves
2897,miércoles
1585,viernes
3083,jueves
900,viernes
43795,jueves
85638,lunes
50001,martes
43905,viernes
22688,viernes
23114,viernes
26378,sábado
40206,sábado
22356,sábado
260,sábado
43488,martes
22613,viernes
10331,martes
488,lunes
22733,martes
261,lunes
57575,viernes
32574,miércoles
22657,martes
76464,jueves
176841,viernes
125587,viernes
39448,martes
52855,miércoles
39940,viernes
172868,jueves
85328,viernes
124632,domingo
11076,viernes
63945,lunes
58985,viernes
890,viernes
10861,viernes
1770,viernes
44465,viernes
2033,viernes
18203,viernes
9333,viernes
47260,miércoles
9400,miércoles
9401,miércoles
12241,viernes
25739,miércoles
161806,viernes
11306,viernes
9625,viernes
10680,viernes
6346,viernes
18660,martes
35115,miércoles
14821,viernes
14136,domingo
10869,jueves
22660,miércoles
19186,lunes
31102,jueves
6878,miércoles
15944,jueves
18444,miércoles
20723,jueves
173,jueves
864,jueves
24795,viernes
11224,sábado
81310,viernes
15947,viernes
9078,miércoles
29682,lunes
8367,viernes
433,jueves
11360,miércoles
11114,jueves
12335,jueves
12092,martes
10948,viernes
11229,viernes
15121,martes
562,viernes
10163,jueves
48862,miércoles
117036,miércoles
47199,viernes
11159,viernes
9591,viernes
30500,viernes
41843,miércoles
55058,viernes
10938,viernes
11412,viernes
10586,viernes
42314,viernes
27845,viernes
108365,lunes
23223,viernes
49471,miércoles
38153,viernes
25147,martes
9716,viernes
43777,sábado
454,jueves
10218,viernes
819,viernes
38191,miércoles
56830,martes
11238,lunes
27256,lunes
31530,viernes
66473,viernes
28120,martes
1834,sábado
26282,miércoles
37218,viernes
252,martes
116356,viernes
16372,lunes
11561,lunes
11302,miércoles
623,viernes
583,viernes
12614,domingo
21711,miércoles
11575,jueves
475,martes
11331,martes
521,sábado
21202,miércoles
88,viernes
500,miércoles
792,jueves
8491,miércoles
402,viernes
10537,viernes
11386,miércoles
9504,martes
15764,miércoles
601,sábado
67365,lunes
25842,viernes
2119,miércoles
744,viernes
136311,jueves
221,jueves
702,martes
25750,martes
17642,viernes
427043,jueves
146341,martes
9305,lunes
37616,jueves
11112,viernes
21612,viernes
141210,sábado
102461,lunes
36998,lunes
200383,miércoles
116844,viernes
1630,sábado
26626,domingo
124837,miércoles
11816,viernes
11843,miércoles
10379,viernes
2756,miércoles
790,viernes
1103,viernes
11298,viernes
4480,miércoles
4481,miércoles
49688,viernes
10765,lunes
762,jueves
44497,viernes
85588,sábado
278621,viernes
99479,viernes
55049,miércoles
124829,viernes
79306,jueves
356054,lunes
10548,viernes
531,viernes
104931,miércoles
4483,miércoles
18919,sábado
31556,miércoles
26167,miércoles
26174,lunes
61461,viernes
117500,jueves
218713,martes
217802,sábado
127973,viernes
659,miércoles
30892,miércoles
86369,miércoles
8074,viernes
124676,sábado
38554,viernes
49763,viernes
41326,viernes
36555,miércoles
10608,viernes
11216,jueves
7452,domingo
64567,miércoles
892,miércoles
1600,miércoles
26561,miércoles
975,miércoles
18129,viernes
54405,viernes
150823,jueves
409,jueves
38251,jueves
10161,viernes
1412,viernes
41768,viernes
10409,jueves
14285,domingo
2469,martes
10174,viernes
31225,martes
510,martes
11455,domingo
1891,sábado
2493,viernes
85,viernes
68,miércoles
679,viernes
429,viernes
13446,jueves
389,lunes
947,lunes
185,sábado
595,martes
28,miércoles
335,sábado
1892,lunes
144,jueves
1092,miércoles
769,miércoles
348,viernes
766,viernes
175,miércoles
11645,sábado
10835,jueves
539,jueves
525,martes
240,viernes
600,viernes
530,viernes
10705,jueves
279,viernes
3109,lunes
311,jueves
1578,viernes
703,martes
9549,jueves
1398,lunes
387,miércoles
9277,martes
343,lunes
37291,domingo
490,sábado
11235,jueves
218,viernes
763,jueves
9665,viernes
18971,viernes
696,miércoles
379,viernes
207,viernes
37247,jueves
1480,miércoles
9322,miércoles
826,miércoles
422,jueves
829,jueves
828,lunes
3090,sábado
9964,martes
3063,viernes
13667,viernes
694,jueves
235,viernes
832,lunes
765,viernes
5925,jueves
11778,viernes
4485,miércoles
137,jueves
33,viernes
982,miércoles
8428,miércoles
212,sábado
105,miércoles
1633,viernes
11202,domingo
1554,jueves
149,sábado
8009,viernes
903,jueves
11673,miércoles
3034,domingo
339,jueves
10404,viernes
914,martes
756,miércoles
288,jueves
910,viernes
2640,sábado
16633,jueves
665,sábado
11031,viernes
11314,domingo
15143,viernes
89,miércoles
10322,miércoles
783,martes
10644,viernes
11257,viernes
14370,miércoles
12104,miércoles
625,viernes
8816,jueves
830,jueves
2323,viernes
983,miércoles
642,martes
655,sábado
10341,jueves
639,viernes
266022,viernes
168450,domingo
30180,viernes
31388,viernes
41801,lunes
66034,viernes
348138,viernes
96288,lunes
61536,martes
18762,viernes
331367,jueves
8077,viernes
814,viernes
41671,jueves
27214,viernes
52263,miércoles
33519,miércoles
16235,viernes
11449,viernes
41848,viernes
25944,martes
24913,jueves
49126,miércoles
32076,martes
571,jueves
8851,viernes
37843,lunes
32146,viernes
30346,viernes
6114,viernes
229,domingo
13549,lunes
9529,viernes
1598,viernes
11349,jueves
7340,miércoles
6217,viernes
377,miércoles
653,miércoles
28198,jueves
794,domingo
31640,jueves
8744,lunes
25189,viernes
145,lunes
2212,viernes
199,jueves
7863,domingo
12498,viernes
9279,viernes
53234,jueves
17204,martes
21539,viernes
85589,viernes
12709,jueves
20539,miércoles
11674,domingo
199512,viernes
64900,miércoles
1573,lunes
152,jueves
174,jueves
172,viernes
154,jueves
157,jueves
168,martes
364,viernes
11967,viernes
9086,miércoles
621,viernes
9037,viernes
10173,viernes
55687,viernes
168535,miércoles
8845,jueves
46681,lunes
578,miércoles
579,viernes
17692,miércoles
17795,viernes
75,jueves
13891,viernes
9390,viernes
378,domingo
10896,viernes
2322,miércoles
41240,domingo
26949,miércoles
9819,miércoles
49799,jueves
31908,viernes
46027,martes
3179,domingo
1802,miércoles
4232,viernes
9361,viernes
2928,miércoles
30285,miércoles
10549,miércoles
58102,miércoles
18451,viernes
27265,miércoles
49935,miércoles
8818,sábado
36758,viernes
36040,jueves
74239,jueves
9415,viernes
55146,martes
303693,domingo
12145,viernes
42424,viernes
34314,jueves
2892,sábado
9404,sábado
85242,sábado
9622,viernes
8860,jueves
197537,sábado
66597,viernes
14832,sábado
9619,viernes
40506,miércoles
31000,viernes
4104,viernes
26306,viernes
203829,jueves
43775,domingo
14908,viernes
784,domingo
12489,miércoles
168283,viernes
16448,miércoles
55936,viernes
17894,viernes
28059,miércoles
58911,jueves
17949,viernes
1968,viernes
61563,viernes
66,viernes
20735,viernes
11419,jueves
333165,viernes
25796,viernes
638,miércoles
25624,viernes
9366,jueves
60083,miércoles
21915,miércoles
90928,martes
50091,viernes
18420,viernes
19952,miércoles
9446,viernes
28005,miércoles
9403,viernes
27322,viernes
10003,jueves
9311,jueves
11844,sábado
884,miércoles
49806,lunes
1624,viernes
88423,jueves
16052,viernes
4477,miércoles
24662,miércoles
18423,viernes
76996,jueves
6499,jueves
50512,viernes
9405,viernes
12723,viernes
9360,viernes
9434,viernes
118991,viernes
21626,sábado
13982,viernes
93946,lunes
77223,viernes
31465,viernes
12793,sábado
102878,viernes
105763,jueves
9611,viernes
47694,jueves
10357,viernes
9977,viernes
816,viernes
2163,viernes
124680,lunes
16399,viernes
124843,martes
31017,miércoles
24645,miércoles
49478,viernes
12499,viernes
18,miércoles
68545,lunes
1811,viernes
109614,domingo
60082,miércoles
105045,jueves
53023,miércoles
64802,viernes
11239,sábado
50850,viernes
15321,viernes
2058,viernes
9450,viernes
125021,viernes
330,viernes
38523,martes
16375,viernes
33660,sábado
59232,miércoles
45671,jueves
17770,viernes
15170,viernes
1701,domingo
201445,lunes
26422,domingo
124642,miércoles
1639,viernes
49235,viernes
106129,viernes
291634,viernes
107743,viernes
415,viernes
47686,miércoles
65889,jueves
11103,jueves
11970,jueves
34941,viernes
407992,martes
8874,jueves
17991,miércoles
11956,miércoles
266,lunes
754,viernes
37567,viernes
43771,miércoles
124834,jueves
249358,jueves
111367,miércoles
607,miércoles
18080,miércoles
38225,miércoles
17834,viernes
686,viernes
65046,jueves
4421,viernes
9387,viernes
10603,martes
2142,viernes
8413,viernes
10336,jueves
20737,viernes
9413,viernes
14585,domingo
18519,viernes
49462,domingo
8834,jueves
9458,viernes
8854,viernes
38295,viernes
22073,miércoles
37244,viernes
4961,viernes
9416,viernes
26180,viernes
17832,viernes
9772,viernes
6072,martes
1669,viernes
468,jueves
32519,viernes
108401,miércoles
10806,miércoles
9433,sábado
6623,viernes
2118,viernes
978,viernes
9437,viernes
29461,viernes
56651,viernes
10351,viernes
66588,miércoles
2649,viernes
14289,viernes
10155,viernes
75250,viernes
20457,viernes
18355,domingo
33657,miércoles
55306,viernes
68924,sábado
36434,martes
2255,viernes
28353,miércoles
9427,miércoles
172545,viernes
17589,viernes
3597,viernes
1813,viernes
36797,viernes
12628,viernes
33344,viernes
25099,viernes
45019,viernes
63437,sábado
62422,miércoles
782,domingo
29911,miércoles
9827,viernes
1959,viernes
251481,viernes
8067,viernes
125052,martes
45153,domingo
10871,viernes
14398,miércoles
10890,jueves
99002,miércoles
1281,jueves
32332,miércoles
9770,viernes
12616,viernes
34838,viernes
14905,viernes
14583,domingo
11975,martes
4995,jueves
9281,viernes
45928,viernes
563,jueves
61337,viernes
19931,miércoles
31535,viernes
10215,jueves
9823,viernes
37165,jueves
45609,viernes
38904,lunes
45565,miércoles
9407,jueves
4824,viernes
9444,jueves
9414,viernes
8078,miércoles
29938,lunes
11831,miércoles
2895,jueves
39177,miércoles
19601,miércoles
124606,sábado
42832,viernes
22797,domingo
2639,martes
9574,miércoles
10371,jueves
489,viernes
167738,miércoles
293820,miércoles
9714,viernes
102406,viernes
170430,martes
8197,viernes
6283,viernes
279698,lunes
49728,miércoles
64562,viernes
4233,martes
191874,miércoles
10217,miércoles
438108,martes
597,martes
714,jueves
52537,jueves
12799,miércoles
62394,jueves
9922,jueves
547,jueves
25994,sábado
184,miércoles
9746,jueves
9438,jueves
115,viernes
26941,viernes
27103,miércoles
9410,lunes
32302,viernes
216794,martes
88863,viernes
154821,miércoles
41417,jueves
12538,viernes
586,jueves
2666,viernes
46338,jueves
54007,jueves
11258,viernes
9490,viernes
9411,viernes
25719,viernes
9033,martes
11220,miércoles
21253,jueves
6116,viernes
9457,viernes
281289,lunes
43911,martes
39424,viernes
44361,jueves
11702,viernes
2923,sábado
12238,miércoles
11568,jueves
41577,domingo
66894,viernes
11003,viernes
10153,viernes
49645,viernes
47112,miércoles
102732,viernes
30949,viernes
2898,viernes
9558,miércoles
83593,miércoles
320011,viernes
26269,viernes
11808,viernes
6970,jueves
47452,miércoles
18205,viernes
36943,viernes
21736,viernes
17941,viernes
10668,sábado
9313,jueves
42807,jueves
617,viernes
36568,viernes
37272,jueves
5910,miércoles
9440,viernes
53092,sábado
32911,viernes
44308,jueves
124821,lunes
32456,domingo
93350,viernes
62695,viernes
32144,jueves
17127,viernes
40688,viernes
17133,jueves
19848,miércoles
17644,jueves
1774,sábado
30265,jueves
2157,viernes
70581,jueves
8838,viernes
29193,lunes
795,viernes
16980,viernes
27472,jueves
47881,viernes
9469,viernes
12488,viernes
98499,martes
81367,viernes
267,martes
16148,viernes
21252,jueves
73135,jueves
9449,viernes
6264,jueves
90414,martes
188870,viernes
215373,sábado
78149,viernes
15513,viernes
31220,viernes
13907,viernes
29825,domingo
10622,viernes
30020,domingo
17139,jueves
34582,viernes
10216,viernes
9771,viernes
24560,jueves
76330,jueves
9448,viernes
38618,viernes
18316,viernes
78373,viernes
77514,miércoles
49474,sábado
4415,viernes
39467,lunes
55561,miércoles
8656,viernes
209345,viernes
58680,viernes
35161,miércoles
35796,viernes
18937,viernes
929,miércoles
9452,viernes
1878,viernes
9844,viernes
40505,miércoles
14342,viernes
9715,viernes
26610,viernes
20064,domingo
40961,martes
1965,viernes
312,miércoles
6068,viernes
15037,viernes
50043,viernes
37636,viernes
17044,viernes
60951,domingo
21334,viernes
416437,sábado
32284,jueves
51955,jueves
37410,domingo
47481,viernes
53765,jueves
10674,jueves
136134,viernes
846,viernes
12655,viernes
3050,lunes
1389,viernes
11020,martes
20862,viernes
108548,lunes
9464,martes
95,miércoles
944,viernes
35680,viernes
11551,viernes
473,viernes
102304,viernes
544,miércoles
10513,miércoles
28966,viernes
65203,viernes
143,martes
42861,lunes
33680,miércoles
56164,miércoles
12311,viernes
43277,miércoles
43278,sábado
34106,martes
43266,martes
27367,jueves
17661,lunes
28580,domingo
887,miércoles
33667,martes
23383,jueves
25430,martes
27191,jueves
11426,viernes
654,martes
15919,lunes
1725,miércoles
5769,domingo
874,lunes
10633,miércoles
17917,jueves
3116,domingo
1051,sábado
1366,domingo
12102,martes
16619,viernes
9443,viernes
11050,domingo
606,viernes
746,miércoles
380,domingo
403,miércoles
11485,lunes
466,lunes
13820,lunes
15389,viernes
13597,viernes
2108,viernes
10014,jueves
10072,viernes
10131,viernes
10160,viernes
11284,jueves
4488,viernes
9725,viernes
9728,viernes
9730,viernes
9731,viernes
10225,viernes
10281,viernes
10283,viernes
948,miércoles
11281,viernes
10676,viernes
11357,viernes
11361,jueves
36599,viernes
39929,viernes
41828,viernes
41769,viernes
10585,martes
11186,viernes
11187,viernes
609,viernes
11133,viernes
10306,viernes
9552,miércoles
11586,viernes
11587,viernes
941,viernes
942,viernes
943,viernes
927,jueves
928,viernes
9340,jueves
9342,jueves
38509,viernes
60033,viernes
12101,jueves
19,lunes
165,lunes
196,viernes
551,viernes
16084,viernes
17984,jueves
22328,miércoles
32611,jueves
3170,viernes
346,lunes
859,viernes
841,viernes
11051,viernes
242,lunes
1411,viernes
9769,sábado
9424,viernes
9835,viernes
857,viernes
17539,viernes
44322,lunes
22777,miércoles
20173,miércoles
10957,miércoles
9570,martes
16249,jueves
13962,viernes
14612,viernes
19378,viernes
65157,viernes
29228,lunes
19379,jueves
11164,viernes
18887,lunes
40866,viernes
24736,viernes
10122,miércoles
24816,lunes
9994,miércoles
25445,lunes
12129,miércoles
14140,viernes
10439,viernes
11158,jueves
9354,jueves
28736,miércoles
34774,sábado
37969,miércoles
9631,miércoles
9820,martes
14013,martes
36606,martes
96196,viernes
98505,miércoles
1779,viernes
10849,viernes
678,jueves
907,miércoles
5961,viernes
47908,viernes
42121,sábado
2887,sábado
11974,viernes
20348,viernes
26648,miércoles
11911,miércoles
793,viernes
35144,miércoles
9325,martes
43037,viernes
10340,jueves
10144,viernes
10414,jueves
10437,jueves
15300,viernes
12230,miércoles
13380,viernes
10693,jueves
11335,viernes
11135,viernes
11319,miércoles
14822,viernes
15969,jueves
13155,viernes
10249,viernes
15943,viernes
10882,miércoles
24808,viernes
19762,miércoles
13850,martes
2619,viernes
65158,viernes
53565,domingo
41841,viernes
27332,viernes
97,viernes
10419,viernes
11675,miércoles
2107,viernes
6471,viernes
9442,viernes
11591,viernes
13697,miércoles
19158,viernes
227,viernes
87,miércoles
123,miércoles
9314,miércoles
11336,viernes
9980,viernes
